ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
3.15,7.49,9.88,4.17,36.81,39.91,13.59,19.03
4.22,8.06,4.79,3.82,42.47,46.06,6.29,7.31
4.97,8.99,8.73,1.92,32.17,36.81,5.41,6.25
7.97,10.45,3.42,8.37,25.22,26.73,6.87,7.27
8.51,7.18,8.15,3.51,15.54,16.91,8.77,10.58
7.89,6.34,3.95,3.91,8.95,12.04,6.65,7.09
5.67,3.55,2.36,4.88,5.23,9.52,5.19,3.33
4.92,2.49,4.13,4.88,4.75,11.65,3.24,1.69
5.14,5.9,7.67,2.62,4.66,8.33,3.29,2.76
4.39,7.31,7.36,3.91,6.21,8.51,3.55,6.47
4.44,4.08,9.08,3.55,4.30,4.83,2.98,7.00
6.38,2.53,7.89,6.6,2.89,3.82,3.82,4.35
6.16,2.18,6.29,6.65,1.43,2.45,3.11,4.26
4.79,3.07,3.37,6.78,2.53,3.60,3.42,6.12
2.67,4.52,2.49,5.67,4.17,5.63,4.17,6.56
1.87,5.23,1.83,10.19,5.19,7.62,4.44,5.76
2.36,5.06,4.22,4.83,5.85,7.62,3.73,5.45
3.15,3.99,5.72,11.56,5.45,6.56,4.04,4.26
6.16,5.28,2.67,5.19,5.59,6.65,3.60,8.64
8.37,7.09,4.44,4.13,8.68,14.26,7.27,11.03
8.68,8.99,6.12,3.77,13.68,20.09,16.47,12.09
7.4,18.19,4.13,13.06,25.36,29.78,20.00,22.22
7.75,25.53,10.85,19.16,30.71,31.28,13.37,19.87
6.96,17.4,4.17,12.93,29.43,28.94,3.95,7.09
6.96,5.19,5.14,7.0,20.31,22.35,7.31,12.09
5.81,5.94,6.07,3.07,10.72,12.31,5.94,9.92
4.39,8.37,8.02,5.5,12.31,10.27,3.24,8.42
7.44,5.59,6.6,6.91,19.78,19.43,6.21,14.43
10.5,3.86,4.04,3.24,23.50,31.28,24.38,17.09
14.74,3.33,8.24,5.5,30.00,43.71,54.15,19.56
16.42,4.13,23.32,3.91,26.02,49.64,59.15,13.19
12.35,5.59,6.6,6.34,31.95,42.16,42.03,5.72
8.15,5.98,10.63,6.38,26.46,33.49,17.79,5.59
5.14,3.91,8.33,4.04,22.26,15.36,4.97,5.85
10.76,8.11,6.25,8.59,13.55,12.88,6.52,8.90
10.14,8.24,6.78,13.02,15.05,17.35,11.38,17.48
10.01,5.5,6.69,6.12,17.97,21.69,37.12,42.96
27.66,19.92,13.5,25.8,25.44,31.37,52.56,59.85
29.96,22.39,14.34,8.59,24.83,29.87,46.63,52.25
15.32,12.26,9.43,8.73,25.18,31.73,24.60,24.91
3.86,5.32,4.48,5.32,24.38,25.71,8.15,8.73
3.73,3.73,3.86,4.83,24.65,26.33,8.73,8.55
1.87,3.07,5.32,7.36,28.81,30.66,11.42,13.37
1.56,5.32,7.89,8.02,32.26,36.28,17.17,20.49
2.14,3.73,7.05,4.92,39.77,44.33,14.56,19.12
5.23,5.67,7.18,8.11,35.44,35.57,8.15,12.04
6.6,8.42,4.17,7.44,28.41,25.58,6.47,6.65
3.91,7.09,12.88,5.63,13.33,12.71,3.82,8.51
3.6,4.13,6.74,4.48,6.56,13.95,1.78,9.26
3.29,3.29,3.15,5.41,5.54,15.67,1.69,12.75
3.55,1.96,4.04,6.34,6.03,15.45,4.83,12.84
5.23,4.13,5.06,4.04,6.69,12.57,9.17,6.82
6.21,3.77,5.81,4.75,4.88,11.07,11.78,6.65
11.6,3.51,13.64,10.41,7.31,9.43,6.56,8.24
24.29,5.45,18.1,9.39,10.41,6.74,21.15,9.26
29.65,7.09,21.91,8.9,15.94,4.83,33.32,12.44
18.72,5.45,7.0,8.15,17.40,2.18,28.01,12.84
4.39,3.29,7.49,5.59,16.16,3.77,13.90,12.26
6.25,5.41,5.45,13.33,12.66,6.56,4.48,12.62
4.52,6.52,3.64,9.26,8.99,12.00,5.85,19.61
2.62,8.28,5.98,12.31,11.34,21.46,8.90,19.52
3.95,8.37,7.49,7.18,14.03,41.72,15.10,16.02
4.17,9.12,4.61,11.2,22.61,50.79,15.94,18.99
1.78,8.02,5.9,2.98,24.21,67.02,7.53,17.04
1.83,5.45,10.85,3.6,25.40,54.64,2.27,10.58
3.6,7.71,6.21,6.43,20.36,47.43,5.28,5.14
3.99,4.3,6.74,4.44,16.91,27.79,9.92,8.11
9.52,4.7,13.64,3.33,17.66,25.98,12.88,8.37
9.43,7.58,11.82,6.21,16.73,26.99,22.44,15.63
14.34,3.73,17.79,7.4,21.29,36.81,42.52,18.77
17.84,15.1,19.08,7.13,18.37,38.14,49.24,39.82
12.22,22.08,9.83,23.54,23.54,36.06,40.35,61.40
7.05,21.64,6.69,4.79,22.00,27.74,23.23,50.43
8.46,14.39,6.43,10.45,22.97,20.85,7.67,22.84
8.24,5.28,6.69,4.61,19.34,17.97,6.07,9.30
10.01,3.15,2.67,4.39,18.63,14.17,7.22,5.50
6.91,2.27,7.0,4.22,17.09,9.88,7.31,3.24
2.49,2.36,5.5,5.81,16.82,8.24,6.03,2.71
3.99,4.35,7.27,6.16,14.52,10.36,6.74,6.38
3.42,5.76,2.98,2.0,16.73,18.01,8.86,9.08
1.74,5.01,4.04,3.73,20.09,24.83,9.79,6.07
4.92,5.1,4.22,5.72,29.74,38.05,10.76,7.58
6.78,9.48,3.6,10.98,33.05,41.90,7.71,5.23
6.29,11.87,13.5,5.67,32.65,39.64,5.90,6.25
4.66,7.09,6.87,11.07,24.29,28.28,5.01,9.61
2.98,5.19,17.93,14.56,14.43,14.61,3.68,5.32
2.53,6.16,6.34,10.5,8.73,12.93,2.58,3.33
2.84,4.57,5.28,13.99,4.75,12.04,4.83,3.07
6.16,5.81,8.99,13.68,6.82,13.81,7.84,2.80
10.85,8.51,7.8,9.66,10.23,12.75,5.94,11.96
10.98,16.07,2.76,11.56,14.34,14.30,10.41,24.07
7.13,27.52,7.58,11.47,22.79,20.49,18.24,39.51
3.11,31.95,5.72,19.61,22.30,19.65,17.04,53.13
6.21,22.7,4.44,10.27,21.69,24.56,25.49,40.79
5.72,13.59,10.72,15.67,16.69,20.27,30.71,14.74
6.74,9.17,12.71,4.66,25.05,28.10,23.54,4.04
9.57,4.44,9.83,10.23,27.26,21.77,17.75,3.82
9.39,23.06,8.86,11.91,25.93,31.81,19.39,10.27
5.67,52.11,21.82,19.3,23.15,32.34,37.74,20.31
10.1,59.5,12.57,16.07,25.98,44.77,43.45,28.59
15.14,39.24,11.34,13.59,50.96,55.25,29.07,23.72
19.08,16.33,14.79,14.7,59.59,53.04,16.29,8.51
16.47,5.67,30.0,26.02,61.45,51.63,27.08,20.54
7.18,7.36,29.03,24.74,40.97,30.31,42.30,38.40
9.17,11.29,22.79,7.93,28.81,35.57,54.64,37.78
8.55,6.21,13.46,8.81,31.55,28.54,39.38,19.61
5.72,3.82,11.78,4.79,30.31,30.93,13.72,4.57
3.51,3.02,8.02,5.32,24.60,15.98,8.90,4.66
4.97,3.2,5.41,5.63,11.47,15.67,11.16,8.20
7.0,2.4,10.01,14.39,8.59,14.39,8.33,11.20
5.19,2.58,6.34,5.98,8.81,18.46,3.82,11.11
2.93,2.58,6.78,9.79,9.66,20.62,7.71,6.16
11.56,4.26,18.9,6.29,7.75,16.95,10.23,5.85
12.44,8.02,16.42,7.89,11.47,15.58,13.90,4.92
4.44,11.42,8.46,8.06,12.88,9.12,15.32,3.33
4.22,12.8,6.74,5.81,13.24,8.95,11.29,8.06
6.16,10.23,3.64,5.06,11.47,7.53,10.10,12.09
5.06,5.67,3.33,5.41,8.95,7.31,7.18,6.25
3.2,2.89,2.49,5.1,6.91,8.64,3.55,3.37
1.69,4.39,3.68,8.37,3.29,12.97,2.93,5.06
3.07,6.21,3.46,5.85,3.15,17.13,3.29,5.19
3.82,5.01,3.77,6.16,7.00,15.18,4.75,7.67
4.39,7.18,6.29,8.99,10.32,9.83,6.21,8.20
5.67,9.43,6.6,10.54,12.40,6.03,5.98,7.09
5.94,6.29,2.45,5.98,12.93,5.59,6.34,3.24
4.39,2.14,7.31,5.54,10.58,6.60,11.73,2.27
9.96,5.94,8.99,2.98,13.86,9.43,21.60,2.62
20.0,4.57,15.63,7.18,13.59,13.55,24.87,4.97
22.97,4.44,25.31,10.67,19.12,19.08,11.60,3.37
