ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
20.31,21.64,9.88,13.46,38.67,26.82,30.35,27.88
9.7,9.35,11.07,6.12,45.70,34.20,19.70,17.75
8.81,4.3,3.11,8.68,43.27,31.55,12.57,10.41
11.03,4.61,11.34,17.93,23.99,21.51,12.00,5.59
11.87,2.36,11.34,12.66,16.60,17.17,8.86,3.77
11.47,4.35,12.93,17.84,12.31,13.68,6.12,5.45
9.61,5.76,8.28,16.6,19.65,16.69,3.86,6.43
6.29,7.93,7.49,12.22,20.14,15.05,3.95,5.10
3.91,6.96,2.93,3.95,17.44,13.11,3.11,5.90
4.13,4.44,3.55,13.46,14.61,9.61,2.05,8.59
6.25,6.82,5.59,7.22,11.03,5.85,4.57,8.51
8.15,8.24,3.55,9.48,15.01,4.57,5.41,6.60
9.04,13.55,4.39,5.19,14.30,5.10,3.51,5.59
10.58,17.4,6.65,7.09,23.41,6.96,3.86,6.69
12.8,18.46,5.28,7.13,20.05,7.89,3.24,7.40
9.96,14.26,5.54,5.06,21.02,8.33,3.68,5.37
9.48,14.96,12.62,7.49,13.99,9.74,6.65,5.94
13.24,17.48,9.57,10.72,19.08,17.93,13.06,13.46
8.73,13.33,13.15,7.84,20.05,22.70,10.63,14.43
6.6,11.42,17.93,18.9,23.01,26.68,19.65,7.67
3.24,26.51,27.88,12.97,19.25,26.37,46.23,15.41
7.44,26.06,6.07,22.0,24.91,30.58,46.23,26.37
7.4,14.48,8.55,3.86,26.90,40.13,20.54,26.55
5.85,4.88,4.52,7.49,29.38,36.59,10.72,14.70
4.13,3.11,1.96,4.44,24.56,29.38,10.05,5.59
4.22,6.25,2.14,4.44,19.43,16.07,10.36,7.93
3.29,8.24,2.18,3.91,17.13,13.99,9.17,7.00
2.58,9.96,1.83,5.06,11.25,10.32,6.96,4.30
3.33,8.81,3.77,3.73,9.35,8.02,2.98,2.89
4.57,6.6,5.19,8.59,8.11,9.26,5.19,7.40
8.46,10.1,9.43,9.96,12.31,14.65,9.92,9.92
9.26,9.48,2.22,4.35,20.45,26.37,12.71,13.46
7.71,8.42,5.85,5.1,20.09,24.38,7.53,12.00
6.34,8.02,12.0,6.56,15.98,21.95,4.04,6.91
8.55,5.59,8.24,5.54,9.08,14.48,7.97,2.18
12.13,2.76,29.07,4.83,7.53,10.76,13.68,4.44
9.39,2.18,5.94,2.76,6.96,8.28,12.53,3.82
2.84,3.15,7.89,1.92,7.40,5.50,7.93,4.22
4.22,4.83,4.04,3.77,8.55,6.74,5.85,4.83
4.26,3.46,5.41,3.46,11.42,10.50,8.15,6.82
3.02,7.44,3.91,8.46,13.50,10.67,5.98,6.47
11.38,15.18,12.0,11.11,14.43,8.95,4.13,13.33
17.66,18.5,17.09,27.39,20.23,7.58,6.91,13.33
13.59,18.37,13.59,14.12,20.14,10.67,13.95,8.24
6.91,20.8,9.88,8.51,23.50,17.04,13.37,8.24
9.66,12.57,6.34,9.74,23.45,16.60,6.65,7.53
9.66,3.51,7.49,13.33,23.28,15.05,11.60,10.54
5.14,13.02,7.71,7.97,25.00,11.38,6.65,10.67
5.9,17.44,8.64,9.61,19.78,10.19,7.97,6.56
15.36,16.69,12.71,7.27,21.42,10.41,25.05,7.31
23.63,12.4,32.08,8.02,24.96,10.27,34.47,10.41
17.09,5.81,8.37,9.7,25.67,12.75,28.36,4.66
6.82,3.95,12.13,3.86,21.82,13.90,14.92,8.64
2.4,4.92,4.35,6.74,11.42,18.32,6.87,12.13
4.61,6.12,5.06,8.59,6.38,19.08,12.40,12.00
7.22,7.36,4.44,5.14,6.56,20.58,12.80,10.05
11.73,13.19,3.91,9.57,7.27,15.49,9.35,8.11
12.44,15.63,8.51,6.38,13.15,15.41,4.79,3.46
10.41,15.18,9.66,13.9,14.30,14.52,4.57,4.66
7.53,12.13,5.01,4.66,18.32,20.54,4.79,7.49
4.3,6.03,8.15,5.28,13.81,17.79,3.99,6.12
10.85,9.92,12.04,3.64,23.19,22.26,20.62,25.58
14.03,23.99,22.79,17.79,29.29,20.18,36.19,54.28
13.41,28.94,27.04,10.81,43.89,23.85,44.29,58.84
8.51,18.37,9.26,4.52,47.07,19.03,34.07,30.18
4.35,5.37,10.98,3.95,40.88,12.71,12.88,9.04
2.62,2.18,1.96,2.18,29.96,7.67,2.89,5.28
4.57,2.89,4.39,2.67,18.81,6.91,7.49,6.34
5.28,2.89,1.25,2.09,15.85,8.73,10.98,9.66
4.13,3.64,2.31,1.65,16.95,11.73,9.39,7.53
