ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
14.92,11.16,3.29,9.17,52.03,49.15,19.30,13.95
5.72,15.05,7.58,9.26,34.64,34.16,10.63,9.57
3.02,8.51,5.19,5.19,25.14,13.59,3.99,9.79
4.92,5.06,5.1,5.9,13.46,8.73,6.96,10.89
5.41,2.67,4.3,2.89,12.18,10.05,11.87,15.58
7.49,3.29,8.28,3.99,13.06,12.80,8.42,11.96
8.37,3.6,9.48,4.83,19.21,13.02,6.03,5.94
9.17,5.81,10.36,5.72,20.31,13.72,7.09,7.05
10.41,5.76,14.48,7.05,25.58,10.98,14.70,15.32
7.49,2.62,7.93,6.03,21.77,10.32,19.39,18.68
10.41,6.12,14.3,10.32,24.69,14.26,12.13,10.54
26.24,13.02,16.38,6.38,17.22,15.18,35.00,22.26
30.44,15.49,23.01,20.45,17.13,14.92,53.80,37.70
21.51,12.31,9.66,5.5,22.84,10.14,45.04,35.97
8.42,4.83,14.87,10.89,29.29,11.25,16.02,21.55
4.39,3.51,4.75,6.6,43.05,20.80,6.82,13.50
3.15,16.42,12.84,25.67,35.84,23.37,6.29,11.07
3.64,17.62,9.61,19.96,40.57,30.88,9.04,13.15
5.19,9.92,6.03,5.14,23.19,20.45,6.38,10.45
2.58,4.61,8.59,12.09,18.41,17.09,7.93,15.94
2.93,4.7,4.35,3.68,11.16,10.94,9.96,19.87
3.6,3.2,2.67,3.99,18.81,20.27,5.10,11.60
4.26,2.53,5.63,7.89,19.65,22.79,5.98,7.36
3.15,8.77,9.66,15.8,23.72,26.95,5.54,5.85
9.57,21.51,5.45,17.88,20.67,23.59,10.01,6.16
16.07,33.8,21.02,47.25,24.83,24.21,14.70,18.72
14.26,29.91,13.81,10.27,21.11,24.52,20.36,21.95
5.28,14.79,5.32,18.63,17.48,27.30,16.64,10.76
5.59,7.09,5.32,7.67,16.86,31.90,10.54,11.73
7.44,3.29,4.75,3.51,19.87,33.67,7.53,9.52
4.92,2.8,6.38,4.13,34.11,38.18,1.65,5.23
2.98,1.96,9.12,4.22,45.61,41.32,5.28,5.72
3.55,3.86,7.84,7.58,48.71,41.15,7.40,4.26
7.09,8.55,8.28,5.19,54.99,46.72,10.01,10.58
20.14,17.09,23.01,23.94,43.62,40.22,18.41,20.49
24.47,16.29,7.13,5.94,50.74,47.38,28.98,29.29
13.59,5.63,9.52,5.85,37.52,36.15,23.15,25.27
6.96,3.95,8.77,6.6,40.04,31.42,9.35,14.70
9.08,3.2,10.32,4.48,23.54,20.31,12.88,10.98
15.63,5.98,14.52,4.92,22.35,20.67,20.76,14.74
18.19,5.72,11.25,7.13,22.39,31.68,14.70,7.09
10.54,6.96,5.5,6.21,35.40,45.92,15.94,8.51
