ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
14.79,16.11,31.68,32.48,45.61,57.25,40.66,47.78
8.46,12.84,25.4,15.49,26.99,42.12,50.83,49.42
5.72,12.75,13.24,11.65,36.37,48.75,45.30,29.34
6.52,10.14,11.78,7.84,34.82,33.98,24.96,8.95
9.7,2.14,12.66,10.5,39.51,29.34,9.88,5.41
3.29,5.63,8.73,8.2,25.00,15.14,7.05,7.75
4.97,5.59,14.7,12.8,17.48,12.13,10.76,9.21
4.04,8.2,7.84,9.83,10.23,6.43,10.32,5.85
4.88,9.26,4.61,8.15,8.55,6.60,5.90,3.15
2.71,2.53,4.79,11.78,7.53,5.06,10.36,6.47
3.77,7.27,12.88,18.99,10.05,9.57,6.43,3.77
3.91,7.44,13.33,13.72,13.55,11.47,5.50,4.26
5.59,7.05,15.18,15.49,23.01,18.32,11.91,8.06
2.8,5.94,10.81,9.92,22.57,17.66,9.21,9.43
7.49,6.34,14.65,22.26,19.21,18.72,6.29,9.21
13.02,11.29,13.81,15.49,9.88,13.99,11.87,7.13
14.83,12.93,11.38,15.98,6.74,11.47,14.21,2.71
10.1,10.23,19.52,18.81,6.52,9.61,14.70,4.48
4.52,8.11,10.94,10.01,7.97,8.20,12.40,5.54
5.14,6.47,4.79,10.27,8.15,7.31,8.59,7.44
6.29,4.61,8.46,4.44,7.09,6.78,10.01,12.18
3.46,4.08,14.21,5.67,6.60,6.38,11.82,12.13
5.06,10.1,14.96,13.86,9.88,8.99,12.49,10.85
5.01,10.36,10.5,6.21,22.08,14.92,14.56,10.32
2.09,5.1,10.54,11.07,32.34,23.32,15.98,8.02
3.24,7.4,8.46,7.18,36.81,26.11,8.46,3.07
6.29,5.59,5.23,7.67,36.37,26.33,3.77,3.15
9.7,6.07,8.51,9.88,30.31,22.70,9.88,9.83
8.68,4.61,19.12,25.22,26.64,21.73,12.66,12.53
8.9,5.81,4.44,4.92,21.82,21.24,9.83,12.88
6.91,12.62,10.58,11.51,18.81,20.93,5.76,11.11
9.04,16.02,14.48,6.21,17.31,20.62,8.06,10.05
14.34,15.58,9.17,8.24,14.08,18.50,16.02,15.80
20.0,14.65,23.15,11.56,9.96,11.78,20.31,23.63
21.29,14.48,13.64,12.97,16.38,19.21,33.98,34.29
17.97,16.51,16.55,15.76,23.28,27.74,44.91,37.48
7.44,7.58,6.87,8.28,37.17,39.07,26.20,22.57
4.61,8.46,5.41,6.69,31.19,34.82,9.21,10.63
7.89,12.93,6.96,11.34,28.36,26.11,3.37,5.81
5.01,11.51,8.06,5.54,17.88,18.94,13.02,13.41
2.67,7.22,4.3,4.88,19.34,13.81,19.56,17.04
6.78,8.64,5.23,6.38,17.57,16.33,21.73,18.19
4.66,10.1,5.85,7.22,16.91,16.07,20.05,16.51
2.8,5.54,8.46,6.65,16.42,17.26,19.83,13.68
6.91,5.1,6.87,15.45,11.47,14.43,21.64,11.69
6.69,7.0,13.86,11.07,11.42,9.79,20.54,8.95
3.77,5.06,2.09,5.45,8.06,8.55,16.82,9.12
3.82,4.3,19.78,15.45,8.33,7.05,11.11,10.27
9.39,4.17,9.74,6.07,5.41,6.74,9.61,10.14
13.64,8.86,17.35,16.25,9.39,8.28,13.59,11.34
11.51,10.1,8.95,11.38,12.80,11.82,17.97,18.94
6.87,6.03,15.23,18.19,18.19,16.78,17.17,24.12
8.2,6.96,7.93,10.89,14.34,17.09,9.17,17.35
7.05,8.24,8.55,18.19,11.47,12.97,7.71,6.91
6.82,7.8,18.1,16.42,7.09,8.11,10.85,7.40
6.74,7.4,13.46,13.28,7.89,3.55,4.79,6.21
3.55,5.54,7.93,7.31,8.33,4.52,8.06,7.05
8.42,7.53,19.56,11.11,12.18,7.53,7.80,5.90
20.05,10.89,10.89,13.37,19.78,18.24,12.88,10.50
24.78,8.55,30.97,7.93,23.68,22.61,11.69,13.99
15.67,6.38,14.92,16.6,34.33,40.22,8.64,13.81
7.44,9.39,15.1,7.0,32.43,42.74,21.42,25.44
7.0,6.69,18.68,10.94,38.67,51.01,27.08,34.95
5.9,2.31,5.45,10.76,33.76,46.94,24.56,29.51
7.44,4.39,19.08,18.59,28.32,37.21,15.63,16.25
6.16,4.92,4.66,16.29,22.84,28.14,14.48,13.06
5.9,6.69,12.66,16.25,17.44,14.03,18.41,13.59
12.57,11.47,7.36,5.59,23.06,17.09,20.36,14.08
17.66,12.75,12.53,12.09,16.95,13.72,28.72,28.98
21.82,13.9,17.97,21.77,18.28,22.75,34.78,38.67
21.82,19.43,25.18,21.95,21.15,24.87,32.92,40.39
12.8,17.62,12.35,11.34,46.98,49.20,33.67,38.14
7.89,15.18,18.37,4.92,54.95,50.57,22.61,20.85
10.63,9.79,9.17,18.81,58.66,51.76,13.11,14.21
